vehicle #,orderId,seq
1,68,1
1,69,2
1,70,3
1,78,4
1,79,5
1,80,6
1,81,7
1,87,8
1,100,9
1,88,10
1,91,11
1,94,12
1,95,13
1,63,14
1,64,15
1,65,16
1,66,17
1,67,18
1,82,19
1,83,20
1,84,21
1,85,22
1,86,23
1,93,24
2,71,1
2,72,2
2,77,3
2,97,4
2,98,5
2,89,6
2,90,7
2,92,8
2,73,9
2,74,10
2,75,11
2,96,12
2,76,13
2,99,14
