vehicle #,orderId,seq
1,127,1
1,129,2
1,130,3
1,131,4
1,131,5
1,135,6
1,137,7
1,139,8
1,140,9
1,142,10
1,144,11
2,147,1
2,148,2
2,149,3
2,151,4
2,152,5
2,153,6
2,155,7
2,156,8
2,158,9
2,159,10
2,160,11
2,161,12
2,162,13
2,164,14
